true_label,pseudo_label,mapped_label
10,0,2403
2280,15,2403
50,2,2583
1280,15,2403
2705,13,2583
2280,23,2403
10,0,2403
2522,2,2583
1280,15,2403
2582,9,2583
1560,17,2583
1560,6,1560
1281,19,2583
1920,8,2583
1560,25,2583
2522,24,2583
2403,15,2403
2522,15,2403
1140,14,1160
2280,4,2280
2583,24,2583
1280,15,2403
1180,4,2280
1140,15,2403
1300,26,1300
2462,2,2583
1280,1,2583
2522,12,2583
2280,0,2403
1160,0,2403
2060,8,2583
40,14,1160
1560,9,2583
2522,2,2583
40,20,2403
2060,11,2583
2060,1,2583
1281,2,2583
1920,7,1920
2583,1,2583
60,2,2583
1180,15,2403
2522,9,2583
1281,13,2583
2280,0,2403
1920,6,1560
10,15,2403
40,23,2403
1160,0,2403
1280,17,2583
40,14,1160
2403,14,1160
1281,23,2403
2583,13,2583
2403,20,2403
1280,11,2583
2705,13,2583
2403,10,2583
2583,14,1160
1300,13,2583
1280,19,2583
2403,4,2280
1320,9,2583
1300,15,2403
2583,9,2583
2583,25,2583
1140,15,2403
2060,6,1560
2280,5,2583
2403,18,2403
2583,3,2583
2462,15,2403
1140,25,2583
2582,2,2583
2403,23,2403
2280,18,2403
1302,11,2583
2060,20,2403
1560,13,2583
1302,6,1560
50,19,2583
1300,10,2583
2220,19,2583
2060,19,2583
2583,19,2583
1560,19,2583
2462,2,2583
1560,19,2583
1280,14,1160
2522,8,2583
2583,11,2583
2583,2,2583
1920,7,1920
1280,2,2583
2522,4,2280
1560,13,2583
2403,4,2280
2522,10,2583
1140,15,2403
2060,2,2583
2582,10,2583
40,19,2583
2280,15,2403
1920,25,2583
1300,5,2583
1300,26,1300
1180,23,2403
40,8,2583
2583,8,2583
1160,14,1160
1140,18,2403
2705,4,2280
2280,4,2280
2403,23,2403
1302,5,2583
1160,4,2280
2583,19,2583
2583,4,2280
2583,3,2583
1560,21,2583
1302,19,2583
2060,7,1920
2403,14,1160
2060,5,2583
1320,14,1160
1302,5,2583
1140,23,2403
2280,23,2403
1280,23,2403
2280,4,2280
2583,4,2280
10,14,1160
1560,5,2583
1560,19,2583
1300,14,1160
1281,19,2583
1280,18,2403
2280,4,2280
1320,19,2583
2583,5,2583
1300,26,1300
2705,4,2280
40,21,2583
1320,4,2280
2705,4,2280
2583,5,2583
1300,26,1300
1280,5,2583
2905,19,2583
2522,21,2583
2705,4,2280
1280,5,2583
2583,5,2583
1300,5,2583
1180,4,2280
1160,14,1160
2403,4,2280
1920,19,2583
1560,5,2583
2522,4,2280
1140,14,1160
2403,23,2403
2585,11,2583
50,4,2280
2705,5,2583
50,5,2583
2280,23,2403
2583,5,2583
2060,23,2403
2280,4,2280
1560,5,2583
2583,5,2583
1280,11,2583
2280,23,2403
2583,3,2583
2060,6,1560
2585,17,2583
1920,7,1920
2583,5,2583
1160,0,2403
60,5,2583
1300,26,1300
1560,6,1560
2060,19,2583
2583,5,2583
1302,5,2583
2280,0,2403
2060,5,2583
10,4,2280
2403,15,2403
2060,5,2583
1320,4,2280
2403,15,2403
2403,18,2403
1560,8,2583
40,14,1160
1140,8,2583
2705,4,2280
2522,25,2583
1300,25,2583
1940,2,2583
2583,8,2583
1280,21,2583
1940,4,2280
40,13,2583
1920,7,1920
2583,2,2583
50,21,2583
2583,25,2583
1280,10,2583
2522,24,2583
50,14,1160
2060,17,2583
2060,24,2583
1280,2,2583
1280,18,2403
2060,25,2583
2705,9,2583
2583,11,2583
